prompt,completion
Given chess position: 8/8/8/8/8/8/KP6/k7 w - - 0 1. What is the best move? Answer:,b2b4
Given chess position: rnbqk1nr/pppp3p/5pp1/2P1p3/4PP2/B5PN/P1PP3P/RN1QKBR1 b Qkq - 1 8. What special moves are available? Answer:,castling
Given chess position: rnbqkbnr/2ppppp1/7p/pP6/5N2/2N5/1PPPPPPP/R1BQKB1R w KQk - 1 6. Is the move h1g1 legal? Answer:,legal
Given chess position: 1nbr4/2pk1p1p/r6b/pP1p2P1/2B1P3/N5P1/PP1P3P/R1B1K1NR w KQ - 0 14. What special moves are available? Answer:,castling
Given chess position: r1b2b2/3pn3/1qn2kp1/pppp1p1r/Q4NPp/2P5/PPNKPP1P/R1B2BR1 w - - 4 16. Is the move a1h8 legal? Answer:,illegal
Given chess position: 1n1q1bnr/1pp1p1p1/r2pb1kp/p2B1p2/5P2/N3P1PN/PPPP3P/1RBQK2R w K - 4 11. Is the move a1h8 legal? Answer:,illegal
Given chess position: rnb2b1r/p1ppkppp/7B/1p2p3/8/3P4/PPPKP1PP/RN1Q1BNR b - - 1 8. Is the move a7a5 legal? Answer:,legal
Given chess position: rnbqk1nr/ppp1bppp/8/3pp3/4P3/2P2P2/PPQPB1PP/RNBK2NR b kq - 0 6. Is the move a1h8 legal? Answer:,illegal
Given chess position: 8/8/8/8/8/8/KP6/k7 w - - 0 1. What is the best move? Answer:,b2b4
Given chess position: 2r3k1/5ppp/p7/8/8/4Q3/PPP2PPP/2K5 w - - 0 1. What is the best move? Answer:,e3e8
Given chess position: r2qk1nr/pbpp2p1/Bp1bp2p/5P2/8/PP2PQ2/2PP1P1P/RNB1K1NR b KQkq - 0 8. What special moves are available? Answer:,castling
Given chess position: 8/8/8/8/8/8/KP6/k7 w - - 0 1. What is the best move? Answer:,b2b4
Given chess position: r1bk3r/pppp1n1p/2n5/1Q2ppp1/1q2P3/5PP1/P2P3P/RNB1KBNR b KQ - 0 15. What special moves are available? Answer:,castling
Given chess position: rnbq1knr/7p/2pbpp2/1p1p2P1/1pP3P1/P2PPN2/3Q3P/RNB1KBR1 w Q - 1 12. Is the move g1g2 legal? Answer:,legal
Given chess position: rnbqkb2/p2pnppr/1p6/2p4p/P1P1p1P1/7P/1P1PPP2/RNBQKBNR b KQq - 1 8. Is the move a1h8 legal? Answer:,illegal
Given chess position: 2r3k1/5ppp/p7/8/8/4Q3/PPP2PPP/2K5 w - - 0 1. What is the best move? Answer:,e3e8
Given chess position: r1b1kbnr/1pp1q2p/1Pnp4/p3pp2/2PPPp2/B2B3P/P4PPR/RN2K1N1 b Qkq - 1 13. Is the move c6b8 legal? Answer:,legal
Given chess position: 2b1kbr1/r2pp2p/nq4pn/pp3p2/2p3P1/P1N2N1P/1PPPPPBR/1RBQK3 b - - 5 13. Is the move a1h8 legal? Answer:,illegal
Given chess position: 1nbQkbr1/2rp1ppp/p7/4p3/Pp1P2n1/5q1P/1PPKPPP1/1RB2BNR b - - 2 13. Is the move e8d8 legal? Answer:,legal
Given chess position: 1rq1kb1r/p2ppp2/1p2b1pn/2N4p/Q1PP4/4PP2/PP2K1PP/R1B3NR b k - 0 15. What special moves are available? Answer:,castling
Given chess position: 8/8/8/8/8/8/KP6/k7 w - - 0 1. What is the best move? Answer:,b2b4
Given chess position: rn2k2r/p1p1ppb1/8/1N1pnPpp/5P1P/2P2NP1/PP1PK3/R1B1QBqR w kq - 1 15. What special moves are available? Answer:,castling
Given chess position: r1b1k2r/ppq1b3/3pNnp1/2p2p1p/2n2P2/P2P3P/1P1QP1P1/RNB1KBR1 w Qkq - 0 13. What special moves are available? Answer:,castling
Given chess position: rnbk1bnr/4pp2/2p4p/p2q2PP/1pp5/NP4PN/P1PPP3/R1BQK2R b KQ - 0 12. Is the move a1h8 legal? Answer:,illegal
Given chess position: r1bqkb2/pppp1ppB/n1P1p3/7p/1P1P4/4rN2/P2NPP1P/R1BQK1R1 w Qq - 0 13. Is the move a1h8 legal? Answer:,illegal
Given chess position: rnbqkb1r/1p1ppp2/2p3pp/p6n/3PP3/1B2B2P/PPP2PP1/RN1QK1NR w KQkq - 2 7. What special moves are available? Answer:,castling
Given chess position: 8/8/8/8/8/8/KP6/k7 w - - 0 1. What is the best move? Answer:,b2b4
Given chess position: r2qk1nr/p1p2p1p/n6b/1p1ppbp1/1B1P4/PP6/2PNPPPP/R1Q1KB1R w KQkq - 1 11. Is the move a1a2 legal? Answer:,legal
Given chess position: 8/8/8/8/8/8/KP6/k7 w - - 0 1. What is the best move? Answer:,b2b4
Given chess position: r1b1qbnr/ppp1kp1p/2n5/1P1pp1p1/4N2P/B2P4/P1P1PPP1/RN1QKBR1 b Q - 1 9. Is the move a1h8 legal? Answer:,illegal
Given chess position: r3kb1r/pb1qp3/1p1p2pn/1Pp1npBp/P1PPP2P/4QP1N/6P1/RN2KB1R b KQkq - 0 14. What special moves are available? Answer:,castling
Given chess position: 1rbqk2r/1pp2pp1/3pp3/p6P/2PnPP2/P2P1N1P/P2Q4/R1B1KB1R w KQk - 1 13. What special moves are available? Answer:,castling
Given chess position: r1bq1bnr/p1pkpp1p/1pn5/3p2p1/1PN5/3P4/PBP1PPPP/R2QKBNR w KQ - 0 6. What special moves are available? Answer:,"castling, en passant"
Given chess position: 8/8/8/8/8/8/KP6/k7 w - - 0 1. What is the best move? Answer:,b2b4
Given chess position: 8/8/8/8/8/8/KP6/k7 w - - 0 1. What is the best move? Answer:,b2b4
Given chess position: 1rbq1rk1/p1pp2b1/1p1np1pp/5pP1/n4P1P/P2PBN1B/RPP1P2R/1N1QK3 w - - 0 15. Is the move a1h8 legal? Answer:,illegal
Given chess position: r1bq1bn1/pppk2pr/n4p1p/3pp2Q/2P2P2/2N1P1PP/PP1P4/RNB1KB1R b KQ - 3 8. Is the move a1h8 legal? Answer:,illegal
Given chess position: r1b1k1n1/1pnp2p1/2pb1p1r/4p2p/pP3P2/B3P1PP/P1QP2B1/1NR1K1NR w Kq - 1 16. What special moves are available? Answer:,castling
Given chess position: r2qkbr1/p1pnpp1p/bp1p2p1/6Pn/P1P2P1P/1QN5/RP1PP2R/2B1KBN1 w q - 3 13. Is the move a2a1 legal? Answer:,legal
Given chess position: 2r3k1/5ppp/p7/8/8/4Q3/PPP2PPP/2K5 w - - 0 1. What is the best move? Answer:,e3e8
Given chess position: rn1qk2r/2pp1p2/bn2p2p/ppbN2p1/3PPP1P/PP5R/2P3P1/R1BKQBN1 b kq - 4 14. What special moves are available? Answer:,castling
Given chess position: r1b1kbn1/ppp2p2/3p1qpr/n6p/4p3/1PN1PPP1/P1PP2QP/R1B1KBNR w KQq - 4 10. Is the move a1h8 legal? Answer:,illegal
Given chess position: 1nb1kbn1/2pp1pp1/3r1q1r/p1P1p3/Pp3PPp/8/1P1PPQ1P/RNBK1BNR w - - 6 15. What special moves are available? Answer:,none
Given chess position: 1r2kn1r/1p2p2p/1B5b/4Ppp1/qn4b1/3P3N/PPP1BP1P/RQ1K3R w k - 5 16. What special moves are available? Answer:,castling
Given chess position: 2r1kbnr/p3pp1p/1pnp4/1b1P2p1/1Pp1P3/P5QP/2P1KP1P/R1BN1BNR b k - 1 13. Is the move e8d8 legal? Answer:,legal
Given chess position: 2r3k1/5ppp/p7/8/8/4Q3/PPP2PPP/2K5 w - - 0 1. What is the best move? Answer:,e3e8
Given chess position: r1bqkb2/pp3p2/2np1np1/2p1p3/4B3/PPP2PPr/3PP3/RNBQ1K1R w - - 1 13. Is the move b3b4 legal? Answer:,legal
